Навзание проекта,Клиент,Менеджер,Отсрочка,Статья ОПиУ,Статья ДДС,Начислено с НДС,Наличие НДС,Сумма НДС,Начислено без НДС,"ИТОГО, реализация за минуоом штрафа",Оплачено аванс 1,Дата аванса,Оплачено аванс 2,Дата аванса,"УДЕРЖАНИЯ, штрафы",Окончательный расчет,Дата окончательного расчета,Осталось получить по проекту,Дата начала работ,Дата окончания проекта,Дата планового окончания проекта,месяц планового окончания работ,Дата планового поступления ДС,месяц планвого поступления  ДС,Месяц окончания проекта,Год окончания проекта,Продолжительность проекта,ДАТА УПД,Дата выставления акта,Месяц выставления акта,Дата подписания акта,№ Акта,статус акта,Срок подписание акта по п 4.6,,Регион,Статус оплаты,Оплачено,Источник
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"44 374,73",5%,"2 113,08","42 261,65","44 374,73",,,,,,,,"44 374,73",10.12.2025,19.12.2025,19.12.2025,12,,,12,2025,9,29.12.2025,14.01.2026,1,,УКД 101,отказ,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:59
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"578 745,61",5%,"27 559,31","551 186,30","578 745,61",,,,,,,,"578 745,61",20.12.2025,19.01.2026,19.01.2026,1,17.03.2026,3,1,2026,30,19.01.2026,28.01.2026,1,10.02.2026,упд 2,подписан,20.02.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:60
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"407 255,33",5%,"19 393,11","387 862,22","407 255,33",,,,,,,,"407 255,33",20.12.2025,19.01.2026,19.01.2026,1,17.03.2026,3,1,2026,30,19.01.2026,28.01.2026,1,10.02.2026,упд 3,подписан,20.02.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:61
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"822 304,85",5%,"39 157,37","783 147,48","822 304,85",,,,,,,,"822 304,85",20.12.2025,19.01.2026,19.01.2026,1,17.03.2026,3,1,2026,30,19.01.2026,28.01.2026,1,10.02.2026,упд 15,подписан,20.02.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:62
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"404 260,09",5%,"19 250,48","385 009,61","404 260,09",,,,,,,,"404 260,09",20.12.2025,19.01.2026,19.01.2026,1,17.03.2026,3,1,2026,30,19.01.2026,28.01.2026,1,10.02.2026,упд 16,подписан,20.02.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:63
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"281 102,78",5%,"13 385,85","267 716,93","281 102,78",,,,,,,,"281 102,78",20.12.2025,19.01.2026,19.01.2026,1,17.03.2026,,1,2026,30,19.01.2026,28.01.2026,1,10.02.2026,упд 4,подписан,20.02.2026,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:64
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 791 676,56",5%,"85 317,93","1 706 358,63","1 791 676,56",,,,,,,,"1 791 676,56",01.01.2026,31.01.2026,31.01.2026,1,,,1,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:65
ЖК Исеть Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"903 397,19",5%,"43 018,91","860 378,28","903 397,19",,,,,,,,"903 397,19",01.01.2026,31.01.2026,31.01.2026,1,,,1,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:66
ЖК Утес,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"262 988,48",5%,"12 523,26","250 465,22","262 988,48",,,,,,,,"262 988,48",01.01.2026,31.01.2026,31.01.2026,1,,,1,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:67
ЖК Нокса Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"480 526,60",5%,"22 882,22","457 644,38","480 526,60",,,,,,,,"480 526,60",01.01.2026,31.01.2026,31.01.2026,1,,,1,2026,30,,,,,,,9.1.1900,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:68
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 560 971,98",5%,"74 332,00","1 486 639,98","1 560 971,98",,,,,,,,"1 560 971,98",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:69
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 412 096,11",5%,"67 242,67","1 344 853,44","1 412 096,11",,,,,,,,"1 412 096,11",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:70
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 176 625,45",5%,"56 029,78","1 120 595,67","1 176 625,45",,,,,,,,"1 176 625,45",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:71
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"677 663,74",5%,"32 269,70","645 394,04","677 663,74",,,,,,,,"677 663,74",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:72
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"857 075,74",5%,"40 813,13","816 262,61","857 075,74",,,,,,,,"857 075,74",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:73
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"582 952,74",5%,"27 759,65","555 193,09","582 952,74",,,,,,,,"582 952,74",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:74
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"335 188,08",5%,"15 961,34","319 226,74","335 188,08",,,,,,,,"335 188,08",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:75
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"346 086,21",5%,"16 480,30","329 605,91","346 086,21",,,,,,,,"346 086,21",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:76
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"425 589,99",5%,"20 266,19","405 323,80","425 589,99",,,,,,,,"425 589,99",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:77
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"386 661,24",5%,"18 412,44","368 248,80","386 661,24",,,,,,,,"386 661,24",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:78
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"575 041,20",5%,"27 382,91","547 658,29","575 041,20",,,,,,,,"575 041,20",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:79
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"405 467,25",5%,"19 307,96","386 159,28","405 467,25",,,,,,,,"405 467,25",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:80
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"822 304,85",5%,"39 157,37","783 147,48","822 304,85",,,,,,,,"822 304,85",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:81
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"932 969,73",5%,"44 427,13","888 542,60","932 969,73",,,,,,,,"932 969,73",20.01.2026,19.02.2026,19.02.2026,2,,,2,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:82
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 791 676,56",5%,"85 317,93","1 706 358,63","1 791 676,56",,,,,,,,"1 791 676,56",01.02.2026,28.02.2026,28.02.2026,2,,,2,2026,27,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:83
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"322 031,72",5%,"15 334,84","306 696,88","322 031,72",,,,,,,,"322 031,72",01.02.2026,28.02.2026,28.02.2026,2,,,2,2026,27,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:84
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"267 263,32",5%,"12 726,82","254 536,50","267 263,32",,,,,,,,"267 263,32",01.04.2026,30.04.2026,30.04.2026,4,,,4,2026,29,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:85
ЖК Исеть Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"903 397,19",5%,"43 018,91","860 378,28","903 397,19",,,,,,,,"903 397,19",01.02.2026,28.02.2026,28.02.2026,2,,,2,2026,27,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:86
ЖК Утес,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"262 988,48",5%,"12 523,26","250 465,22","262 988,48",,,,,,,,"262 988,48",01.02.2026,28.02.2026,28.02.2026,2,,,2,2026,27,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:87
ЖК Нокса Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"595 852,98",5%,"28 373,95","567 479,03","595 852,98",,,,,,,,"595 852,98",01.02.2026,28.02.2026,28.02.2026,2,,,2,2026,27,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:88
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 560 971,98",5%,"74 332,00","1 486 639,98","1 560 971,98",,,,,,,,"1 560 971,98",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:89
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 412 096,11",5%,"67 242,67","1 344 853,44","1 412 096,11",,,,,,,,"1 412 096,11",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:90
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 176 625,45",5%,"56 029,78","1 120 595,67","1 176 625,45",,,,,,,,"1 176 625,45",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:91
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"677 663,74",5%,"32 269,70","645 394,04","677 663,74",,,,,,,,"677 663,74",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:92
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"857 075,74",5%,"40 813,13","816 262,61","857 075,74",,,,,,,,"857 075,74",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:93
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"582 952,74",5%,"27 759,65","555 193,09","582 952,74",,,,,,,,"582 952,74",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:94
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"335 188,08",5%,"15 961,34","319 226,74","335 188,08",,,,,,,,"335 188,08",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:95
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"346 086,21",5%,"16 480,30","329 605,91","346 086,21",,,,,,,,"346 086,21",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:96
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"425 589,99",5%,"20 266,19","405 323,80","425 589,99",,,,,,,,"425 589,99",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:97
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"386 661,24",5%,"18 412,44","368 248,80","386 661,24",,,,,,,,"386 661,24",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:98
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"575 041,20",5%,"27 382,91","547 658,29","575 041,20",,,,,,,,"575 041,20",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:99
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"405 467,25",5%,"19 307,96","386 159,28","405 467,25",,,,,,,,"405 467,25",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:100
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"822 304,85",5%,"39 157,37","783 147,48","822 304,85",,,,,,,,"822 304,85",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:101
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"932 969,73",5%,"44 427,13","888 542,60","932 969,73",,,,,,,,"932 969,73",20.02.2026,19.03.2026,19.03.2026,3,,,3,2026,27,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:102
ЖК Исеть Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"903 397,19",5%,"43 018,91","860 378,28","903 397,19",,,,,,,,"903 397,19",01.03.2026,31.03.2026,31.03.2026,3,,,3,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:103
ЖК Утес,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"262 988,48",5%,"12 523,26","250 465,22","262 988,48",,,,,,,,"262 988,48",01.03.2026,31.03.2026,31.03.2026,3,,,3,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:104
ЖК Нокса Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"595 852,98",5%,"28 373,95","567 479,03","595 852,98",,,,,,,,"595 852,98",01.03.2026,31.03.2026,31.03.2026,3,,,3,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:105
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 560 971,98",5%,"74 332,00","1 486 639,98","1 560 971,98",,,,,,,,"1 560 971,98",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:106
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 077 308,12",5%,"51 300,39","1 026 007,73","1 077 308,12",,,,,,,,"1 077 308,12",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,19.04.2026,22.04.2026,,,упд 100,отказ,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:107+Uchet:3
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"950 000,00",5%,"45 238,10","904 761,90","950 000,00",,,,,,,,"950 000,00",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:108
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"677 663,74",5%,"32 269,70","645 394,04","677 663,74",,,,,,,,"677 663,74",20.03.2026,19.04.2026,19.04.2026,4,03.06.2026,6,4,2026,30,19.04.2026,22.04.2026,,,упд 94,подписан,,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:109+Uchet:5
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"713 043,88",5%,"33 954,47","679 089,41","713 043,88",,,,,,,,"713 043,88",20.03.2026,19.04.2026,19.04.2026,4,03.06.2026,6,4,2026,30,19.04.2026,22.04.2026,,,упд 95,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:110+Uchet:6
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"459 100,14",5%,"21 861,91","437 238,23","459 100,14",,,,,,,,"459 100,14",20.03.2026,19.04.2026,19.04.2026,4,03.06.2026,6,4,2026,30,19.04.2026,22.04.2026,,,упд 93,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:111+Uchet:7
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"335 188,08",5%,"15 961,34","319 226,74","335 188,08",,,,,,,,"335 188,08",20.03.2026,19.04.2026,19.04.2026,4,03.06.2026,6,4,2026,30,19.04.2026,22.04.2026,,,упд 92,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:112+Uchet:8
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"287 048,06",5%,"13 668,96","273 379,10","287 048,06",,,,,,,,"287 048,06",20.03.2026,19.04.2026,19.04.2026,4,03.06.2026,6,4,2026,30,19.04.2026,22.04.2026,,,упд 91,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:113+Uchet:9
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"425 589,99",5%,"20 266,19","405 323,80","425 589,99",,,,,,,,"425 589,99",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:114
ЖК Астрид,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"228 370,58",5%,"10 874,79","217 495,79","228 370,58",,,,,,,,"228 370,58",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:115
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"575 041,20",5%,"27 382,91","547 658,29","575 041,20",,,,,,,,"575 041,20",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:116
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"287 784,93",5%,"13 704,04","274 080,88","287 784,93",,,,,,,,"287 784,93",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:117
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"461 430,77",5%,"21 972,89","439 457,88","461 430,77",,,,,,,,"461 430,77",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:118
ЖК Курортный,ООО Самолет УК,,,Реализация услуг Клининг (ДУ),Поступление Клининг (ДУ),"932 969,73",5%,"44 427,13","888 542,60","932 969,73",,,,,,,,"932 969,73",20.03.2026,19.04.2026,19.04.2026,4,,,4,2026,30,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:119
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 486 782,15",5%,"70 799,15","1 415 983,00","1 486 782,15",,,,,,,,"1 486 782,15",01.04.2026,30.04.2026,30.04.2026,4,,,4,2026,29,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:120
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 791 676,56",5%,"85 317,93","1 706 358,63","1 791 676,56",,,,,,,,"1 791 676,56",01.03.2026,31.03.2026,31.03.2026,3,,,3,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:121
ЖК Космонавтов 11,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"322 032,72",5%,"15 334,89","306 697,83","322 032,72",,,,,,,,"322 032,72",01.03.2026,31.03.2026,31.03.2026,3,,,3,2026,30,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:122
ЖК Исеть Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"749 636,11",5%,"35 696,96","713 939,15","749 636,11",,,,,,,,"749 636,11",01.04.2026,30.04.2026,30.04.2026,4,,,4,2026,29,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:123
ЖК Утес,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"218 229,04",5%,"10 391,86","207 837,18","218 229,04",,,,,,,,"218 229,04",01.04.2026,30.04.2026,30.04.2026,4,14.06.2026,6,4,2026,29,,04.05.2026,,,упд 102,подписан,,,Екатеринбург,Не оплачено,"0,00",merge:bez_ryb_NK:124+Uchet:14
ЖК Нокса Парк,ООО ПИК-Комфорт Профи,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"529 581,35",5%,"25 218,16","504 363,19","529 581,35",,,,,,,,"529 581,35",01.04.2026,30.04.2026,30.04.2026,4,,,4,2026,29,,,,,,,,,Екатеринбург,Не оплачено,"0,00",bez_ryb_NK:125
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 560 971,98",5%,"74 332,00","1 486 639,98","1 560 971,98",,,,,,,,"1 560 971,98",20.04.2026,19.05.2026,19.05.2026,5,,,5,2026,29,,,,,,,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:126
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"1 077 308,12",5%,"51 300,39","1 026 007,73","1 077 308,12",,,,,,,,"1 077 308,12",20.04.2026,19.05.2026,19.05.2026,5,,,5,2026,29,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:127
ЖК Рыбацкое,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"950 000,00",5%,"45 238,10","904 761,90","950 000,00",,,,,,,,"950 000,00",20.04.2026,19.05.2026,19.05.2026,5,,,5,2026,29,,,,,,,,,Санкт-Петербург,Не оплачено,"0,00",bez_ryb_NK:128
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"677 663,74",5%,"32 269,70","645 394,04","677 663,74",,,,,,,,"677 663,74",20.04.2026,19.05.2026,19.05.2026,5,18.06.2026,6,5,2026,29,19.05.2026,25.05.2026,,,упд 113,подписан,,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:129+Uchet:18
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"713 043,88",5%,"33 954,47","679 089,41","713 043,88",,,,,,,,"713 043,88",20.04.2026,19.05.2026,19.05.2026,5,18.06.2026,6,5,2026,29,19.05.2026,25.05.2026,,,упд 114,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:130+Uchet:19
ЖК Новое К,ООО Самолет УК,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"459 100,14",5%,"21 861,91","437 238,23","459 100,14",,,,,,,,"459 100,14",20.04.2026,19.05.2026,19.05.2026,5,18.06.2026,6,5,2026,29,19.05.2026,25.05.2026,,,упд 112,подписан,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:131+Uchet:20
ЖК Новое К,ООО Самолет - Сервис СПБ,,,Реализация услуг Клининг (ОД),Поступление Клининг (ОД),"335 188,08",5%,"15 961,34","319 226,74","335 188,08",,,,,,,,"335 188,08",20.04.2026,19.05.2026,19.05.2026,5,18.06.2026,6,5,2026,29,19.05.2026,25.05.2026,,,упд 111,на подписи,09.01.1900,,Санкт-Петербург,Не оплачено,"0,00",merge:bez_ryb_NK:132+Uchet:21
